Type 1,,,,,,,,,
frequency,Real(Z),Im(Z),,,,,,,
2.48E+02,3.42E+05,-19600,,,,,,,
2.33E+02,3.43E+05,-19300,,,,,,,
2.18E+02,3.43E+05,-18100,,,,,,,
2.04E+02,3.45E+05,-16400,,,,,,,
1.91E+02,3.45E+05,-17500,,,,,,,
1.79E+02,3.46E+05,-17000,,,,,,,
1.67E+02,3.47E+05,-16500,,,,,,,
1.57E+02,3.48E+05,-16200,,,,,,,
1.47E+02,3.49E+05,-15400,,,,,,,
1.37E+02,3.49E+05,-14800,,,,,,,
1.29E+02,3.50E+05,-14200,,,,,,,
1.20E+02,3.51E+05,-13700,,,,,,,
1.13E+02,3.52E+05,-13500,,,,,,,
1.06E+02,3.52E+05,-13100,,,,,,,
9.88E+01,3.54E+05,-12800,,,,,,,
9.25E+01,3.54E+05,-11800,,,,,,,
8.66E+01,3.54E+05,-11500,,,,,,,
8.11E+01,3.55E+05,-11000,,,,,,,
7.59E+01,3.55E+05,-10700,,,,,,,
7.11E+01,3.56E+05,-10100,,,,,,,
6.66E+01,3.57E+05,-9580,,,,,,,
6.23E+01,3.57E+05,-9740,,,,,,,
5.83E+01,3.58E+05,-9660,,,,,,,
5.46E+01,3.58E+05,-8410,,,,,,,
5.11E+01,3.59E+05,-8620,,,,,,,
4.79E+01,3.59E+05,-7470,,,,,,,
4.48E+01,3.60E+05,-8030,,,,,,,
4.19E+01,3.60E+05,-8070,,,,,,,
3.93E+01,3.60E+05,-7010,,,,,,,
3.68E+01,3.61E+05,-6560,,,,,,,
3.44E+01,3.61E+05,-6400,,,,,,,
3.22E+01,3.61E+05,-6040,,,,,,,
3.02E+01,3.62E+05,-5700,,,,,,,
2.83E+01,3.63E+05,-5370,,,,,,,
2.65E+01,3.63E+05,-5310,,,,,,,
2.48E+01,3.63E+05,-4730,,,,,,,
2.32E+01,3.63E+05,-4620,,,,,,,
2.17E+01,3.64E+05,-4340,,,,,,,
2.03E+01,3.64E+05,-4290,,,,,,,
1.90E+01,3.65E+05,-4190,,,,,,,
1.78E+01,3.65E+05,-3920,,,,,,,
1.67E+01,3.65E+05,-3530,,,,,,,
1.56E+01,3.66E+05,-3170,,,,,,,
1.46E+01,3.66E+05,-2820,,,,,,,
1.37E+01,3.66E+05,-2650,,,,,,,
1.28E+01,3.67E+05,-2580,,,,,,,
1.20E+01,3.67E+05,-2420,,,,,,,
1.12E+01,3.67E+05,-1900,,,,,,,
1.05E+01,3.68E+05,-1920,,,,,,,
9.85E+00,3.69E+05,-1700,,,,,,,
9.22E+00,3.69E+05,-1350,,,,,,,
8.63E+00,3.70E+05,-1760,,,,,,,
8.08E+00,3.70E+05,-1150,,,,,,,
7.57E+00,3.71E+05,-1060,,,,,,,
7.08E+00,3.72E+05,-776,,,,,,,
,,,,,,,,,
Type 2,,,,,,,,,
frequency,Real(Z),Imagenary(Z),,,,,,,
1.00E+06,3.31E+04,-15400,,,,,,,
9.36E+05,3.25E+04,-16400,,,,,,,
8.77E+05,3.36E+04,-18300,,,,,,,
8.21E+05,3.56E+04,-17800,,,,,,,
7.68E+05,3.49E+04,-18800,,,,,,,
7.19E+05,3.60E+04,-18600,,,,,,,
6.74E+05,3.62E+04,-19700,,,,,,,
6.31E+05,3.62E+04,-19200,,,,,,,
5.90E+05,3.67E+04,-20200,,,,,,,
5.53E+05,3.85E+04,-20900,,,,,,,
5.17E+05,3.90E+04,-22000,,,,,,,
4.85E+05,3.92E+04,-23200,,,,,,,
4.54E+05,4.05E+04,-23600,,,,,,,
4.25E+05,4.03E+04,-23900,,,,,,,
3.98E+05,4.24E+04,-24600,,,,,,,
3.72E+05,4.20E+04,-25300,,,,,,,
3.49E+05,4.37E+04,-26000,,,,,,,
3.26E+05,4.51E+04,-27000,,,,,,,
3.06E+05,4.54E+04,-28100,,,,,,,
2.86E+05,4.63E+04,-28500,,,,,,,
2.68E+05,4.76E+04,-29800,,,,,,,
2.51E+05,4.83E+04,-31400,,,,,,,
2.35E+05,4.87E+04,-30700,,,,,,,
2.20E+05,5.06E+04,-32200,,,,,,,
2.06E+05,5.12E+04,-33200,,,,,,,
1.93E+05,5.23E+04,-33600,,,,,,,
1.80E+05,5.45E+04,-35300,,,,,,,
1.69E+05,5.52E+04,-36900,,,,,,,
1.58E+05,5.67E+04,-37400,,,,,,,
1.48E+05,5.76E+04,-39800,,,,,,,
1.39E+05,5.88E+04,-40100,,,,,,,
1.30E+05,6.04E+04,-40200,,,,,,,
1.21E+05,6.21E+04,-42800,,,,,,,
1.14E+05,6.33E+04,-43300,,,,,,,
1.06E+05,6.46E+04,-44300,,,,,,,
9.97E+04,6.62E+04,-46200,,,,,,,
9.33E+04,6.80E+04,-47800,,,,,,,
8.74E+04,7.13E+04,-48100,,,,,,,
8.18E+04,7.27E+04,-49800,,,,,,,
7.66E+04,7.44E+04,-51200,,,,,,,
7.17E+04,7.68E+04,-52800,,,,,,,
6.71E+04,7.93E+04,-54400,,,,,,,
6.29E+04,8.11E+04,-56600,,,,,,,
5.89E+04,8.43E+04,-56500,,,,,,,
5.51E+04,8.63E+04,-58700,,,,,,,
5.16E+04,8.80E+04,-59300,,,,,,,
4.83E+04,9.18E+04,-62100,,,,,,,
4.52E+04,9.46E+04,-61800,,,,,,,
4.23E+04,9.81E+04,-63400,,,,,,,
3.96E+04,1.01E+05,-64300,,,,,,,
3.71E+04,1.04E+05,-65200,,,,,,,
3.47E+04,1.07E+05,-66900,,,,,,,
3.25E+04,1.10E+05,-66600,,,,,,,
3.05E+04,1.14E+05,-67800,,,,,,,
2.85E+04,1.18E+05,-69700,,,,,,,
2.67E+04,1.21E+05,-69900,,,,,,,
2.50E+04,1.25E+05,-71000,,,,,,,
2.34E+04,1.29E+05,-71200,,,,,,,
2.19E+04,1.33E+05,-70600,,,,,,,
2.05E+04,1.36E+05,-71200,,,,,,,
1.92E+04,1.40E+05,-70600,,,,,,,
1.80E+04,1.43E+05,-70900,,,,,,,
1.68E+04,1.47E+05,-70500,,,,,,,
1.58E+04,1.50E+05,-70800,,,,,,,
1.48E+04,1.55E+05,-70600,,,,,,,
1.38E+04,1.56E+05,-70200,,,,,,,
1.29E+04,1.61E+05,-68600,,,,,,,
1.21E+04,1.65E+05,-68300,,,,,,,
1.13E+04,1.68E+05,-66800,,,,,,,
1.06E+04,1.72E+05,-66500,,,,,,,
9.94E+03,1.75E+05,-64800,,,,,,,
9.31E+03,1.77E+05,-63900,,,,,,,
8.71E+03,1.80E+05,-62500,,,,,,,
8.15E+03,1.83E+05,-60800,,,,,,,
7.63E+03,1.86E+05,-60300,,,,,,,
7.15E+03,1.88E+05,-58100,,,,,,,
6.69E+03,1.91E+05,-57300,,,,,,,
6.27E+03,1.94E+05,-55600,,,,,,,
5.87E+03,1.96E+05,-54300,,,,,,,
5.50E+03,1.98E+05,-52900,,,,,,,
5.14E+03,2.00E+05,-51600,,,,,,,
4.82E+03,2.02E+05,-49900,,,,,,,
4.51E+03,2.05E+05,-49100,,,,,,,
4.22E+03,2.06E+05,-47200,,,,,,,
3.95E+03,2.08E+05,-46800,,,,,,,
3.70E+03,2.09E+05,-44400,,,,,,,
3.46E+03,2.12E+05,-43300,,,,,,,
3.24E+03,2.13E+05,-42300,,,,,,,
3.04E+03,2.14E+05,-40600,,,,,,,
2.84E+03,2.15E+05,-40300,,,,,,,
2.66E+03,2.17E+05,-38500,,,,,,,
2.49E+03,2.19E+05,-38900,,,,,,,
2.33E+03,2.20E+05,-36800,,,,,,,
2.18E+03,2.21E+05,-35400,,,,,,,
2.05E+03,2.22E+05,-34600,,,,,,,
1.91E+03,2.23E+05,-33400,,,,,,,
1.79E+03,2.24E+05,-32300,,,,,,,
1.68E+03,2.25E+05,-31400,,,,,,,
1.57E+03,2.26E+05,-30600,,,,,,,
1.47E+03,2.27E+05,-30000,,,,,,,
1.38E+03,2.28E+05,-28600,,,,,,,
1.29E+03,2.29E+05,-27800,,,,,,,
1.21E+03,2.29E+05,-27600,,,,,,,
1.13E+03,2.30E+05,-26400,,,,,,,
1.06E+03,2.31E+05,-25600,,,,,,,
9.91E+02,2.32E+05,-25900,,,,,,,
9.28E+02,2.32E+05,-25400,,,,,,,
8.69E+02,2.33E+05,-24200,,,,,,,
8.13E+02,2.34E+05,-23900,,,,,,,
7.61E+02,2.35E+05,-23800,,,,,,,
7.13E+02,2.35E+05,-23400,,,,,,,
6.67E+02,2.35E+05,-22700,,,,,,,
6.25E+02,2.36E+05,-21700,,,,,,,
5.85E+02,2.36E+05,-21400,,,,,,,
5.48E+02,2.37E+05,-21400,,,,,,,
5.13E+02,2.38E+05,-21000,,,,,,,
4.80E+02,2.38E+05,-21500,,,,,,,
4.50E+02,2.39E+05,-20900,,,,,,,
4.21E+02,2.40E+05,-20500,,,,,,,
3.94E+02,2.40E+05,-20400,,,,,,,
3.69E+02,2.41E+05,-20200,,,,,,,
3.45E+02,2.42E+05,-19500,,,,,,,
3.23E+02,2.42E+05,-20100,,,,,,,
3.03E+02,2.43E+05,-20100,,,,,,,
2.83E+02,2.44E+05,-20500,,,,,,,
2.65E+02,2.44E+05,-20100,,,,,,,
2.48E+02,2.44E+05,-20200,,,,,,,
2.33E+02,2.45E+05,-19600,,,,,,,
2.18E+02,2.46E+05,-20800,,,,,,,
2.04E+02,2.47E+05,-21000,,,,,,,
1.91E+02,2.47E+05,-20000,,,,,,,
1.79E+02,2.49E+05,-17600,,,,,,,
1.67E+02,2.50E+05,-17500,,,,,,,
1.57E+02,2.50E+05,-18100,,,,,,,
1.47E+02,2.51E+05,-18300,,,,,,,
1.37E+02,2.52E+05,-18400,,,,,,,
1.29E+02,2.53E+05,-18500,,,,,,,
1.20E+02,2.53E+05,-18600,,,,,,,
1.13E+02,2.54E+05,-19000,,,,,,,
1.06E+02,2.55E+05,-19100,,,,,,,
9.88E+01,2.55E+05,-19900,,,,,,,
9.25E+01,2.56E+05,-19800,,,,,,,
8.66E+01,2.57E+05,-19700,,,,,,,
8.11E+01,2.57E+05,-19400,,,,,,,
7.59E+01,2.59E+05,-20000,,,,,,,
7.11E+01,2.59E+05,-20200,,,,,,,
6.66E+01,2.60E+05,-19800,,,,,,,
6.23E+01,2.61E+05,-20300,,,,,,,
5.83E+01,2.62E+05,-20500,,,,,,,
5.46E+01,2.63E+05,-20100,,,,,,,
5.11E+01,2.65E+05,-20500,,,,,,,
4.79E+01,2.66E+05,-20600,,,,,,,
4.48E+01,2.66E+05,-20500,,,,,,,
4.19E+01,2.67E+05,-20500,,,,,,,
3.93E+01,2.67E+05,-20200,,,,,,,
3.68E+01,2.68E+05,-20300,,,,,,,
3.44E+01,2.69E+05,-19900,,,,,,,
3.22E+01,2.70E+05,-20600,,,,,,,
3.02E+01,2.71E+05,-19900,,,,,,,
2.83E+01,2.73E+05,-19500,,,,,,,
2.65E+01,2.73E+05,-20000,,,,,,,
2.48E+01,2.74E+05,-20000,,,,,,,
2.32E+01,2.75E+05,-19400,,,,,,,
2.17E+01,2.75E+05,-19500,,,,,,,
2.03E+01,2.76E+05,-19400,,,,,,,
1.90E+01,2.77E+05,-18500,,,,,,,
1.78E+01,2.78E+05,-18800,,,,,,,
1.67E+01,2.79E+05,-18400,,,,,,,
1.56E+01,2.79E+05,-18600,,,,,,,
1.46E+01,2.80E+05,-18100,,,,,,,
1.37E+01,2.81E+05,-17700,,,,,,,
1.28E+01,2.82E+05,-17300,,,,,,,
1.20E+01,2.82E+05,-17700,,,,,,,
1.12E+01,2.83E+05,-17300,,,,,,,
1.05E+01,2.85E+05,-16400,,,,,,,
9.85E+00,2.85E+05,-16400,,,,,,,
9.22E+00,2.85E+05,-16000,,,,,,,
8.63E+00,2.86E+05,-16000,,,,,,,
8.08E+00,2.87E+05,-15500,,,,,,,
7.57E+00,2.87E+05,-15200,,,,,,,
7.08E+00,2.88E+05,-14900,,,,,,,
6.632,288483.5313,-14906.21973,,,,,,,
6.21025,289036.75,-14332.56738,,,,,,,
5.81287,289545.75,-14296.42285,,,,,,,
