Z',"Z""",Bias
1.21E+05,5.09E+04,1.4
1.28E+05,4.70E+04,1.4
1.35E+05,4.40E+04,1.4
1.41E+05,4.08E+04,1.4
1.47E+05,3.75E+04,1.4
1.52E+05,3.44E+04,1.4
1.57E+05,3.09E+04,1.4
1.61E+05,2.82E+04,1.4
1.64E+05,2.54E+04,1.4
1.67E+05,2.30E+04,1.4
1.70E+05,1.89E+04,1.4
1.72E+05,1.83E+04,1.4
1.74E+05,1.70E+04,1.4
1.74E+05,1.57E+04,1.4
1.77E+05,1.51E+04,1.4
1.78E+05,1.32E+04,1.4
1.82E+05,1.34E+04,1.4
1.82E+05,1.38E+04,1.4
1.84E+05,1.42E+04,1.4
1.84E+05,1.41E+04,1.4
1.86E+05,1.39E+04,1.4
1.87E+05,1.58E+04,1.4
1.92E+05,1.71E+04,1.4
1.97E+05,9.86E+03,1.4
1.95E+05,1.58E+04,1.4
1.97E+05,1.72E+04,1.4
2.00E+05,1.64E+04,1.4
2.08E+05,1.67E+04,1.4
2.02E+05,1.69E+04,1.4
2.11E+05,2.31E+04,1.4
2.21E+05,2.29E+04,1.4
2.10E+05,1.44E+04,1.4
2.17E+05,2.10E+04,1.4
2.18E+05,1.29E+04,1.4
2.20E+05,2.04E+04,1.4
2.16E+05,1.69E+04,1.4
2.33E+05,1.89E+04,1.4
2.35E+05,1.99E+04,1.4
2.34E+05,5.41E+03,1.4
2.26E+05,1.19E+04,1.4
2.31E+05,8.05E+03,1.4
7.17E+03,5.89E+03,1.5
7.57E+03,7.17E+03,1.5
8.00E+03,8.63E+03,1.5
8.67E+03,1.05E+04,1.5
9.37E+03,1.27E+04,1.5
1.06E+04,1.54E+04,1.5
1.21E+04,1.88E+04,1.5
1.42E+04,2.24E+04,1.5
1.71E+04,2.68E+04,1.5
2.09E+04,3.15E+04,1.5
2.58E+04,3.68E+04,1.5
3.21E+04,4.48E+04,1.5
4.09E+04,5.01E+04,1.5
5.09E+04,5.41E+04,1.5
6.16E+04,5.71E+04,1.5
7.39E+04,5.71E+04,1.5
8.54E+04,5.56E+04,1.5
9.54E+04,5.30E+04,1.5
1.04E+05,4.96E+04,1.5
1.11E+05,4.56E+04,1.5
1.18E+05,4.14E+04,1.5
1.24E+05,3.86E+04,1.5
1.29E+05,3.56E+04,1.5
1.33E+05,3.29E+04,1.5
1.38E+05,3.00E+04,1.5
1.42E+05,2.74E+04,1.5
1.45E+05,2.50E+04,1.5
1.49E+05,2.24E+04,1.5
1.52E+05,2.02E+04,1.5
1.53E+05,1.97E+04,1.5
1.56E+05,1.68E+04,1.5
1.57E+05,1.56E+04,1.5
1.59E+05,1.39E+04,1.5
1.61E+05,1.32E+04,1.5
1.63E+05,1.27E+04,1.5
1.64E+05,1.16E+04,1.5
1.65E+05,1.27E+04,1.5
1.67E+05,1.24E+04,1.5
1.68E+05,1.20E+04,1.5
1.69E+05,1.24E+04,1.5
1.73E+05,1.41E+04,1.5
1.75E+05,1.33E+04,1.5
1.78E+05,1.27E+04,1.5
1.73E+05,1.06E+04,1.5
1.81E+05,1.57E+04,1.5
1.83E+05,1.55E+04,1.5
1.85E+05,1.28E+04,1.5
1.88E+05,1.64E+04,1.5
1.95E+05,1.27E+04,1.5
1.95E+05,1.50E+04,1.5
2.05E+05,1.32E+04,1.5
2.01E+05,7.80E+03,1.5
2.02E+05,1.04E+04,1.5
1.97E+05,2.05E+04,1.5
1.97E+05,7.82E+03,1.5
2.08E+05,5.84E+03,1.5
2.10E+05,4.59E+03,1.5
2.06E+05,7.67E+03,1.5
2.11E+05,1.25E+04,1.5
2.05E+05,7.93E+03,1.5
2.18E+05,2.07E+04,1.5
